当前时间(s): 0.0 音符打开: B3; 力度: 85(强)
当前时间(s): 0.0 音符打开: B2; 力度: 85(强)
当前时间(s): 0.0 音符打开: #D3; 力度: 85(强)
当前时间(s): 0.0 音符打开: #F3; 力度: 85(强)
当前时间(s): 0.123 音符关闭: B3; 力度: 55
当前时间(s): 0.125 音符打开: #C4; 力度: 85(强)
当前时间(s): 0.248 音符关闭: #C4; 力度: 55
当前时间(s): 0.25 音符打开: #D4; 力度: 85(强)
当前时间(s): 0.373 音符关闭: #D4; 力度: 55
当前时间(s): 0.375 音符打开: B4; 力度: 85(强)
当前时间(s): 0.56 音符关闭: B4; 力度: 55
当前时间(s): 0.561 音符关闭: B2; 力度: 55
当前时间(s): 0.561 音符关闭: #D3; 力度: 55
当前时间(s): 0.561 音符关闭: #F3; 力度: 55
当前时间(s): 0.562 音符打开: #F4; 力度: 85(强)
当前时间(s): 0.562 音符打开: B2; 力度: 85(强)
当前时间(s): 0.562 音符打开: E3; 力度: 85(强)
当前时间(s): 0.562 音符打开: #G3; 力度: 85(强)
当前时间(s): 0.747 音符关闭: #F4; 力度: 55
当前时间(s): 0.748 音符关闭: B2; 力度: 55
当前时间(s): 0.748 音符关闭: E3; 力度: 55
当前时间(s): 0.748 音符关闭: #G3; 力度: 55
当前时间(s): 0.749 音符打开: #C5; 力度: 85(强)
当前时间(s): 0.749 音符打开: B2; 力度: 85(强)
当前时间(s): 0.749 音符打开: E3; 力度: 85(强)
当前时间(s): 0.749 音符打开: #G3; 力度: 85(强)
当前时间(s): 0.934 音符关闭: #C5; 力度: 55
当前时间(s): 0.936 音符打开: #F4; 力度: 85(强)
当前时间(s): 1.122 音符关闭: #F4; 力度: 55
当前时间(s): 1.123 音符打开: #D5; 力度: 85(强)
当前时间(s): 1.309 音符关闭: #D5; 力度: 55
当前时间(s): 1.31 音符打开: #F5; 力度: 85(强)
当前时间(s): 1.683 音符关闭: #F5; 力度: 55
当前时间(s): 1.685 音符打开: #F4; 力度: 85(强)
当前时间(s): 1.871 音符关闭: #F4; 力度: 55
当前时间(s): 1.872 音符打开: #D5; 力度: 85(强)
当前时间(s): 2.058 音符关闭: #D5; 力度: 55
当前时间(s): 2.059 音符打开: #F4; 力度: 85(强)
当前时间(s): 2.245 音符关闭: #F4; 力度: 55
当前时间(s): 2.246 音符打开: E5; 力度: 85(强)
当前时间(s): 2.432 音符关闭: E5; 力度: 55
当前时间(s): 2.433 音符打开: #D5; 力度: 85(强)
当前时间(s): 2.619 音符关闭: #D5; 力度: 55
当前时间(s): 2.62 音符打开: B4; 力度: 85(强)
当前时间(s): 2.994 音符关闭: B4; 力度: 55
当前时间(s): 2.995 音符打开: B3; 力度: 85(强)
当前时间(s): 2.997 音符关闭: B2; 力度: 55
当前时间(s): 2.997 音符关闭: E3; 力度: 55
当前时间(s): 2.997 音符关闭: #G3; 力度: 55
当前时间(s): 2.999 音符打开: B2; 力度: 85(强)
当前时间(s): 2.999 音符打开: #D3; 力度: 85(强)
当前时间(s): 2.999 音符打开: #F3; 力度: 85(强)
当前时间(s): 3.119 音符关闭: B3; 力度: 55
当前时间(s): 3.12 音符打开: #C4; 力度: 85(强)
当前时间(s): 3.243 音符关闭: #C4; 力度: 55
当前时间(s): 3.245 音符打开: #D4; 力度: 85(强)
当前时间(s): 3.368 音符关闭: #D4; 力度: 55
当前时间(s): 3.37 音符打开: B4; 力度: 85(强)
当前时间(s): 3.555 音符关闭: B4; 力度: 55
当前时间(s): 3.557 音符打开: #F4; 力度: 85(强)
当前时间(s): 3.559 音符关闭: B2; 力度: 55
当前时间(s): 3.559 音符关闭: #D3; 力度: 55
当前时间(s): 3.559 音符关闭: #F3; 力度: 55
当前时间(s): 3.561 音符打开: B2; 力度: 85(强)
当前时间(s): 3.561 音符打开: E3; 力度: 85(强)
当前时间(s): 3.561 音符打开: #G3; 力度: 85(强)
当前时间(s): 3.743 音符关闭: #F4; 力度: 55
当前时间(s): 3.744 音符打开: #C5; 力度: 85(强)
当前时间(s): 3.747 音符关闭: B2; 力度: 55
当前时间(s): 3.747 音符关闭: E3; 力度: 55
当前时间(s): 3.747 音符关闭: #G3; 力度: 55
当前时间(s): 3.748 音符打开: B2; 力度: 85(强)
当前时间(s): 3.748 音符打开: E3; 力度: 85(强)
当前时间(s): 3.748 音符打开: #G3; 力度: 85(强)
当前时间(s): 3.93 音符关闭: #C5; 力度: 55
当前时间(s): 3.931 音符打开: #F4; 力度: 85(强)
当前时间(s): 4.117 音符关闭: #F4; 力度: 55
当前时间(s): 4.118 音符打开: #D5; 力度: 85(强)
当前时间(s): 4.304 音符关闭: #D5; 力度: 55
当前时间(s): 4.305 音符打开: #F5; 力度: 85(强)
当前时间(s): 4.678 音符关闭: #F5; 力度: 55
当前时间(s): 4.68 音符打开: #F4; 力度: 85(强)
