当前时间(s): 0.0 音符打开: C4; 力度: 80(强)
当前时间(s): 0.474 音符关闭: C4; 力度: 00
当前时间(s): 0.5 音符打开: C4; 力度: 80(强)
当前时间(s): 0.974 音符关闭: C4; 力度: 00
当前时间(s): 1.0 音符打开: G4; 力度: 80(强)
当前时间(s): 1.474 音符关闭: G4; 力度: 00
当前时间(s): 1.5 音符打开: G4; 力度: 80(强)
当前时间(s): 1.974 音符关闭: G4; 力度: 00
当前时间(s): 2.0 音符打开: A4; 力度: 80(强)
当前时间(s): 2.474 音符关闭: A4; 力度: 00
当前时间(s): 2.5 音符打开: A4; 力度: 80(强)
当前时间(s): 2.974 音符关闭: A4; 力度: 00
当前时间(s): 3.0 音符打开: G4; 力度: 80(强)
当前时间(s): 3.949 音符关闭: G4; 力度: 00
当前时间(s): 4.0 音符打开: F4; 力度: 80(强)
当前时间(s): 4.474 音符关闭: F4; 力度: 00
当前时间(s): 4.5 音符打开: F4; 力度: 80(强)
当前时间(s): 4.974 音符关闭: F4; 力度: 00
当前时间(s): 5.0 音符打开: E4; 力度: 80(强)
当前时间(s): 5.474 音符关闭: E4; 力度: 00
当前时间(s): 5.5 音符打开: E4; 力度: 80(强)
当前时间(s): 5.974 音符关闭: E4; 力度: 00
当前时间(s): 6.0 音符打开: D4; 力度: 80(强)
当前时间(s): 6.474 音符关闭: D4; 力度: 00
当前时间(s): 6.5 音符打开: D4; 力度: 80(强)
当前时间(s): 6.974 音符关闭: D4; 力度: 00
当前时间(s): 7.0 音符打开: C4; 力度: 80(强)
当前时间(s): 7.949 音符关闭: C4; 力度: 00
当前时间(s): 8.0 音符打开: G4; 力度: 80(强)
当前时间(s): 8.474 音符关闭: G4; 力度: 00
当前时间(s): 8.5 音符打开: G4; 力度: 80(强)
当前时间(s): 8.974 音符关闭: G4; 力度: 00
当前时间(s): 9.0 音符打开: F4; 力度: 80(强)
当前时间(s): 9.474 音符关闭: F4; 力度: 00
当前时间(s): 9.5 音符打开: F4; 力度: 80(强)
当前时间(s): 9.974 音符关闭: F4; 力度: 00
当前时间(s): 10.0 音符打开: E4; 力度: 80(强)
当前时间(s): 10.474 音符关闭: E4; 力度: 00
当前时间(s): 10.5 音符打开: E4; 力度: 80(强)
当前时间(s): 10.974 音符关闭: E4; 力度: 00
当前时间(s): 11.0 音符打开: D4; 力度: 80(强)
当前时间(s): 11.949 音符关闭: D4; 力度: 00
当前时间(s): 12.0 音符打开: G4; 力度: 80(强)
当前时间(s): 12.474 音符关闭: G4; 力度: 00
当前时间(s): 12.5 音符打开: G4; 力度: 80(强)
当前时间(s): 12.974 音符关闭: G4; 力度: 00
当前时间(s): 13.0 音符打开: F4; 力度: 80(强)
当前时间(s): 13.474 音符关闭: F4; 力度: 00
当前时间(s): 13.5 音符打开: F4; 力度: 80(强)
当前时间(s): 13.974 音符关闭: F4; 力度: 00
当前时间(s): 14.0 音符打开: E4; 力度: 80(强)
当前时间(s): 14.474 音符关闭: E4; 力度: 00
当前时间(s): 14.5 音符打开: E4; 力度: 80(强)
当前时间(s): 14.974 音符关闭: E4; 力度: 00
当前时间(s): 15.0 音符打开: D4; 力度: 80(强)
当前时间(s): 15.711 音符关闭: D4; 力度: 00
当前时间(s): 16.0 音符打开: C4; 力度: 80(强)
当前时间(s): 16.711 音符关闭: C4; 力度: 00
当前时间(s): 16.75 音符打开: C4; 力度: 80(强)
当前时间(s): 16.986 音符关闭: C4; 力度: 00
当前时间(s): 17.0 音符打开: G4; 力度: 80(强)
当前时间(s): 17.711 音符关闭: G4; 力度: 00
当前时间(s): 17.75 音符打开: G4; 力度: 80(强)
当前时间(s): 17.986 音符关闭: G4; 力度: 00
当前时间(s): 18.0 音符打开: A4; 力度: 80(强)
当前时间(s): 18.711 音符关闭: A4; 力度: 00
当前时间(s): 18.75 音符打开: A4; 力度: 80(强)
当前时间(s): 18.986 音符关闭: A4; 力度: 00
当前时间(s): 19.0 音符打开: A4; 力度: 80(强)
当前时间(s): 19.474 音符关闭: A4; 力度: 00
当前时间(s): 19.5 音符打开: G4; 力度: 80(强)
当前时间(s): 19.974 音符关闭: G4; 力度: 00
当前时间(s): 20.0 音符打开: F4; 力度: 80(强)
当前时间(s): 20.711 音符关闭: F4; 力度: 00
当前时间(s): 20.75 音符打开: F4; 力度: 80(强)
当前时间(s): 20.986 音符关闭: F4; 力度: 00
当前时间(s): 21.0 音符打开: E4; 力度: 80(强)
当前时间(s): 21.711 音符关闭: E4; 力度: 00
当前时间(s): 21.75 音符打开: E4; 力度: 80(强)
当前时间(s): 21.986 音符关闭: E4; 力度: 00
当前时间(s): 22.0 音符打开: D4; 力度: 80(强)
当前时间(s): 22.236 音符关闭: D4; 力度: 00
当前时间(s): 22.25 音符打开: C4; 力度: 80(强)
当前时间(s): 22.486 音符关闭: C4; 力度: 00
当前时间(s): 22.5 音符打开: D4; 力度: 80(强)
当前时间(s): 22.736 音符关闭: D4; 力度: 00
当前时间(s): 22.75 音符打开: E4; 力度: 80(强)
当前时间(s): 22.986 音符关闭: E4; 力度: 00
当前时间(s): 23.0 音符打开: C4; 力度: 80(强)
当前时间(s): 23.236 音符关闭: C4; 力度: 00
当前时间(s): 24.0 音符打开: C4; 力度: 80(强)
当前时间(s): 24.236 音符关闭: C4; 力度: 00
当前时间(s): 24.25 音符打开: D4; 力度: 80(强)
当前时间(s): 24.486 音符关闭: D4; 力度: 00
当前时间(s): 24.5 音符打开: C4; 力度: 80(强)
当前时间(s): 24.736 音符关闭: C4; 力度: 00
当前时间(s): 24.75 音符打开: D4; 力度: 80(强)
当前时间(s): 24.986 音符关闭: D4; 力度: 00
当前时间(s): 25.0 音符打开: G4; 力度: 80(强)
当前时间(s): 25.236 音符关闭: G4; 力度: 00
当前时间(s): 25.25 音符打开: G4; 力度: 80(强)
当前时间(s): 25.486 音符关闭: G4; 力度: 00
当前时间(s): 25.5 音符打开: G4; 力度: 80(强)
当前时间(s): 25.736 音符关闭: G4; 力度: 00
